,node_area,min_traveltime
158,242,14.220866831671572
159,245,21.012033766674115
160,247,18.933564656748853
161,248,19.125039329235907
162,251,18.355988788668466
163,252,20.74101527301785
164,253,19.125903434401764
165,254,11.28748837257785
166,255,48.09075455765874
167,256,11.157527119113725
168,260,16.69734276671414
169,261,15.557967224906788
170,262,20.693169001830125
171,264,38.5838577198808
172,265,50.26270402672226
173,266,5.039764253526085
174,268,48.37998891696023
175,270,28.849788130685173
176,271,28.364559319154807
177,272,9.460063034067495
178,274,57.9595019002857
179,275,21.310745199272663
180,276,8.805162458458451
181,277,36.37210986728536
182,280,39.2104287270231
183,281,16.777800481487652
184,282,50.203377635281115
185,283,38.53008903448968
186,284,15.312274709423786
187,287,40.63185037444856
188,288,14.122669614323517
189,289,12.501323116708775
190,290,29.471939164655176
191,291,24.09121228890429
192,292,23.74588072189805
193,295,51.46946795897456
194,296,12.592599305237767
195,297,23.16443194169213
196,298,33.44476738061496
197,301,24.150777040279635
198,303,33.294764380879286
199,304,37.10158477988095
200,306,53.518031912751866
201,307,22.368602555812434
202,308,41.27828323699302
203,311,53.54970270394433
204,312,19.102477522146113
205,313,18.943061497088614
206,314,36.78909700466085
207,316,38.973624801390905
208,317,29.4011878999004
209,319,36.09434577268826
210,322,12.537284027644233
211,323,6.987283337840793
212,324,51.434285521886565
213,325,13.78845521325815
214,326,40.32418173739992
215,328,8.377135623685575
216,329,19.01813350782919
217,330,17.547478960623007
218,333,40.7406829604643
219,335,32.60510903944129
220,336,20.58173068975668
221,338,49.742158671657826
222,339,4.674181885297103
223,340,42.1828670270686
224,342,37.784046813213976
225,343,45.58708610385511
226,344,39.374500697026015
227,345,32.68083763976328
228,346,34.23487566761147
229,348,29.75960705132225
230,349,45.707975211917365
231,351,32.79490625638368
232,354,16.156426627926393
233,357,42.903357300412644
234,358,29.67873244404201
235,359,56.51534264369485
236,362,57.81553003486352
237,367,29.636149352163873
238,369,55.63525681164258
239,370,29.147232202616838
240,372,23.59798405294207
241,373,37.19455091120467
242,376,10.719812923024122
243,377,14.625117018282324
244,379,36.87476696165511
245,380,42.81066240817055
246,382,32.884874083519435
247,383,27.074778152076146
248,384,20.023336521679408
249,385,34.47938108255759
250,387,35.37567345680787
251,388,33.22142418003551
252,391,32.68319722065865
253,394,12.3934130959605
254,395,33.48761824601895
255,396,52.43973115493057
256,397,13.485906464097186
257,399,19.398964431552194
258,400,16.2989400473184
259,401,28.58601435605977
260,402,29.903327235945415
261,404,54.63590816175697
262,405,3.759822081794018
263,407,27.766934016578823
264,408,33.794394591805485
265,409,25.59832823409076
266,411,47.97988554315914
267,412,37.575628733873145
268,414,39.52237660733111
269,415,21.357542922348536
270,416,43.952682600179436
271,419,56.077649884885304
272,420,35.561262652581725
273,422,8.891841826443226
274,423,50.125184142497254
275,426,24.59318291832601
276,427,45.45635147315904
277,428,58.015500888339695
278,430,40.95005949848047
279,431,56.012553011523465
280,432,23.512053027824987
281,433,26.600096450984527
282,437,37.888642978198135
283,439,11.223071457754113
284,440,42.05017733899372
285,442,52.0410140586646
286,447,50.554778860153725
287,448,21.44892022373636
288,450,31.853629306927107
289,451,49.164456415431296
290,454,45.60906654038615
291,456,26.58947481103795
292,457,42.3186026402144
293,459,18.697651197849513
294,461,51.697538710873204
295,462,17.082042854779967
296,463,14.739784964498474
297,464,40.34502244081155
298,466,34.76140145820243
299,468,46.19543685276689
300,470,19.829526877987
301,472,16.873512623634028
302,473,5.750144752565999
303,474,11.875918051284096
304,475,52.09134690623321
305,480,42.22322050343535
306,482,45.28647316880298
