,node_area,number_reachable
315,104896,6
316,43665,6
317,66782,6
318,81956,6
319,142919,6
320,60293,6
321,116012,6
322,45977,6
323,21120,6
324,43536,6
325,172641,6
326,99843,6
327,59639,6
328,36060,6
329,90715,6
330,14062,6
331,4507,6
332,2840,6
333,3772,6
334,162583,6
335,175517,6
336,2162,6
337,69791,6
338,158909,6
339,120264,6
340,154347,6
341,166586,6
342,166589,6
343,113050,6
344,174103,6
345,100888,6
346,84252,6
347,3564,6
348,90178,6
349,75545,6
350,91273,6
351,112104,6
352,25498,6
353,68975,6
354,5167,6
355,9925,6
356,176469,6
357,96052,6
358,17087,6
359,49143,6
360,81329,6
361,64071,6
362,50981,6
363,11096,6
364,88462,6
365,162682,6
366,53745,6
367,82139,6
368,43736,6
369,11829,6
370,29508,6
371,561,6
372,73907,6
373,30042,6
374,60579,6
375,30048,6
376,125307,6
377,48044,6
378,138510,6
379,33057,6
380,136326,6
381,132787,6
382,134628,6
383,170690,6
384,23480,6
385,172834,6
386,39417,6
387,58726,6
388,50813,6
389,70087,6
390,76440,6
391,44121,6
392,96408,6
393,136847,6
394,165469,6
395,31641,6
396,153985,6
397,86499,6
398,65361,6
399,166223,6
400,100814,6
401,84435,6
402,1127,6
403,98395,6
404,13528,6
405,113361,6
406,150378,6
407,142298,6
408,130285,6
409,6696,6
410,188304,6
411,81605,6
412,96113,6
413,17838,6
414,160234,6
415,8111,6
416,11242,6
417,133008,6
418,22044,6
419,176768,6
420,183560,6
421,16425,6
422,105756,6
423,48541,6
424,133506,6
425,175462,6
426,62165,6
427,149479,6
428,168978,6
429,96450,6
430,181121,6
431,95888,6
432,172619,6
433,102923,6
434,34855,6
435,82453,6
436,110401,6
437,38606,6
438,66402,6
439,98578,6
440,82494,6
441,22281,6
442,99658,6
443,84320,6
444,138921,6
445,35707,6
446,150964,6
447,110461,6
448,43453,6
449,121009,6
450,21499,6
451,121678,6
452,82241,6
453,58968,6
454,121505,6
455,126067,6
456,156252,6
457,98505,6
458,140251,6
459,117367,6
460,109203,6
461,63892,6
462,71978,6
463,180652,6
464,114277,6
465,108519,6
466,20910,6
467,56508,6
468,36102,6
469,128122,6
470,94118,6
471,58262,6
472,87343,6
473,183490,6
474,81521,6
475,88208,6
476,62779,6
477,87081,6
478,55658,6
479,189998,6
480,138417,6
481,18159,6
482,34871,6
483,7008,6
484,44659,6
485,110880,6
486,158317,6
487,12186,6
488,87811,6
489,131937,6
490,131931,6
491,87525,6
492,138902,6
493,146719,6
494,128618,6
495,55648,6
496,19115,6
497,76955,6
498,179854,6
499,165089,6
500,46194,6
501,10569,6
502,77842,6
503,87529,6
504,20865,6
505,165085,6
506,162911,6
507,153792,6
508,54498,6
509,64838,6
510,24447,6
511,72663,6
512,11307,6
513,147362,6
514,175015,6
515,23254,6
516,39276,6
517,34607,6
518,37526,6
519,160767,6
520,55784,6
521,49620,6
522,178095,6
523,132886,6
524,121745,6
525,108239,6
526,186229,6
527,111958,6
528,165063,6
529,180006,6
530,140144,6
531,71284,6
532,166812,6
533,120361,6
534,109896,6
535,72987,6
536,152352,6
537,15567,6
538,151334,6
539,172446,6
540,31460,6
541,128625,6
542,4954,6
543,4735,6
544,45388,6
545,88478,6
546,141803,6
547,71406,6
548,59011,6
549,73366,6
550,52502,6
551,125712,6
552,83560,6
553,185550,6
554,98746,6
555,57038,6
556,153771,6
557,6463,6
558,52647,6
559,17038,6
560,49329,6
561,11194,6
562,44933,6
563,97526,6
564,156786,6
565,69560,6
566,135372,6
567,13436,6
568,124194,6
569,2475,6
570,116440,6
571,136516,6
572,52306,6
573,4933,6
574,75596,6
575,4931,6
576,40589,6
577,60446,6
578,73837,6
579,6205,6
580,158886,6
581,110476,6
582,112291,6
583,184998,6
584,181547,6
585,18154,6
586,6117,6
587,160032,6
588,68336,6
589,68560,6
590,52575,6
591,50177,6
592,171930,6
593,185005,6
594,50494,6
595,40228,6
596,81913,6
597,140718,6
598,132648,6
599,25795,6
600,179593,6
601,182035,6
602,166765,6
603,87987,6
604,65548,6
605,112360,6
606,14692,6
607,8797,6
608,1286,6
609,22767,6
610,34468,6
611,144939,6
612,58667,6
613,113341,6
614,23077,6
615,159818,6
616,31082,6
617,84035,6
618,103970,6
619,10910,6
620,123408,6
621,80741,6
622,172412,6
623,110097,6
624,11078,6
625,83340,6
626,112624,6
627,158740,6
628,86161,6
629,29953,6
630,84615,6
631,154595,6
632,52945,6
633,14422,6
634,10877,6
635,122879,6
636,183367,6
637,121991,6
638,76302,6
639,175677,6
640,52684,6
641,166305,6
642,38271,6
643,96007,6
644,72099,6
645,77306,6
646,81437,6
647,110962,6
648,57484,6
649,104080,6
650,185689,6
651,57944,6
652,43984,6
653,104469,6
654,121997,6
655,43499,6
656,171358,6
657,29048,6
658,186096,6
659,72139,6
660,161258,6
661,115251,6
662,153056,6
663,159838,6
664,133051,6
665,160866,6
666,68414,6
667,98859,6
668,35807,6
669,110433,6
670,109524,6
671,46056,6
672,32560,6
673,46870,6
674,43502,6
675,58260,6
676,78093,6
677,129707,6
678,110579,6
679,130405,6
680,38337,6
681,172234,6
682,21523,6
683,7858,6
684,9305,6
685,73668,6
686,10253,6
687,57394,6
688,148203,6
689,73660,6
690,30040,6
691,57589,6
692,132328,6
693,123634,6
694,132150,6
695,169999,6
696,62694,6
697,187647,6
698,72482,6
699,92002,6
700,21514,6
701,120250,6
702,84314,6
703,177764,6
