,node_area,number_reachable
413,57765,50
414,95564,50
415,188457,50
416,43984,50
417,104987,50
418,26708,50
419,141815,50
420,65458,50
421,73683,50
422,51865,50
423,18704,50
424,103114,50
425,20237,50
426,20581,50
427,131903,50
428,108404,50
429,83912,50
430,97407,50
431,16120,50
432,137255,50
433,84013,50
434,172588,50
435,74196,50
436,149166,50
437,120264,50
438,180536,50
439,70087,50
440,78236,50
441,57394,50
442,34871,50
443,169973,50
444,126493,50
445,69923,50
446,187859,50
447,155912,50
448,165534,50
449,39276,50
450,133223,50
451,13900,50
452,55000,50
453,150073,50
454,23480,50
455,175827,50
456,83261,50
457,84576,50
458,8514,50
459,138283,50
460,35853,49
461,81903,49
462,120016,49
463,170868,49
464,40620,49
465,21484,49
466,36051,49
467,136847,49
468,77765,49
469,122680,49
470,145525,49
471,43863,49
472,166661,49
473,118098,49
474,2602,49
475,81369,49
476,90318,49
477,141755,49
478,153338,49
479,184561,49
480,85588,49
481,127518,49
482,142868,49
483,3723,49
484,175919,49
485,76162,49
486,129111,49
487,118116,49
488,27595,49
489,187292,49
490,108433,49
491,13904,49
492,78662,49
493,85016,49
494,80262,49
495,70988,49
496,110023,49
497,79216,49
498,178054,49
499,158190,49
500,96535,49
501,111129,49
502,112452,49
503,85947,49
504,116716,49
505,157139,49
506,30281,49
507,176268,49
508,75826,49
509,129436,49
510,108868,49
511,179841,49
512,5873,49
513,189445,49
514,66248,49
515,121190,49
516,149876,49
517,111094,49
518,8853,49
519,50591,49
520,172794,49
521,110394,49
522,62779,49
523,184852,49
524,70074,49
525,114597,49
526,111467,49
527,108442,49
528,106746,49
529,152127,49
530,76765,49
531,46257,49
532,178491,49
533,128203,49
534,86901,49
535,172800,49
536,128390,49
537,12299,49
538,68092,49
539,161103,49
540,188640,49
541,97668,49
542,49454,49
543,189337,49
544,100799,49
545,178230,49
546,145260,49
547,128618,49
548,101755,49
549,75121,49
550,45572,49
551,60635,49
552,188035,49
553,157947,49
554,169974,49
555,175462,49
556,80914,49
557,14641,49
558,126829,49
559,105770,49
560,170831,49
561,170058,49
562,150378,49
563,38970,49
564,62894,49
565,125388,49
566,157028,49
567,90715,49
568,108628,49
569,91495,49
570,57967,49
571,118971,49
572,105917,49
573,49329,49
574,97955,49
575,77715,49
576,76624,49
577,164049,49
578,59639,49
579,140598,49
580,98254,49
581,177727,49
582,84782,49
583,43665,49
584,99518,49
585,41167,49
586,179816,49
587,184684,49
588,189991,49
589,71478,49
590,164701,49
591,62165,49
592,23391,49
593,163630,49
594,183727,49
595,98083,49
596,176883,49
597,154657,49
598,87816,49
599,28336,49
600,13101,49
601,36179,49
602,135617,49
603,98081,49
604,44836,49
605,17212,49
606,53212,49
607,56186,49
608,121130,49
609,145018,49
610,117975,49
611,75771,49
612,159794,49
613,151363,49
614,94357,49
615,165924,49
616,9747,49
617,168875,49
618,8773,49
619,63210,49
620,85129,49
621,183250,49
622,17082,49
623,87740,49
624,187474,49
625,47357,49
626,116935,49
627,61965,49
628,28209,49
629,38715,49
630,85024,49
631,24689,49
632,155515,49
633,151044,49
634,47836,49
635,106692,49
636,183852,49
637,13242,49
638,31600,49
639,24707,49
640,109025,49
641,157127,49
642,90392,49
643,132328,49
644,48823,49
645,87920,49
646,12484,49
647,163599,49
648,175136,49
649,187739,49
650,141208,49
651,125687,49
652,189913,49
653,5229,49
654,149283,49
655,80467,49
656,177175,49
657,104333,49
658,107171,49
659,99000,49
660,184406,49
661,50792,49
662,135119,49
663,187778,49
664,131793,49
665,56605,49
666,180898,49
667,150568,49
668,36867,49
669,84043,49
670,171339,48
671,187014,48
672,27448,48
673,47996,48
674,57325,48
675,110962,48
676,24202,48
677,35677,48
678,34509,48
679,24065,48
