,ori,lo_transittime
332,1606.0,23.0
333,1613.0,7.0
334,1621.0,29.0
335,1635.0,11.0
336,1640.0,18.0
337,1644.0,17.0
338,1648.0,4.0
339,1650.0,8.0
340,1651.0,14.0
341,1653.0,8.0
342,1657.0,24.0
343,1662.0,15.0
344,1673.0,15.0
345,1674.0,17.0
346,1676.0,27.0
347,1678.0,17.0
348,1679.0,9.0
349,1697.0,9.0
350,1699.0,21.0
351,1703.0,8.0
352,1707.0,12.0
353,1708.0,4.0
354,1715.0,18.0
355,1719.0,11.0
356,1724.0,13.0
357,1738.0,16.0
358,1742.0,26.0
359,1746.0,22.0
360,1747.0,20.0
361,1752.0,22.0
362,1756.0,10.0
363,1758.0,11.0
364,1763.0,17.0
365,1772.0,20.0
366,1777.0,4.0
367,1784.0,20.0
368,1789.0,2.0
369,1796.0,18.0
370,1804.0,23.0
371,1810.0,20.0
372,1811.0,9.0
373,1813.0,9.0
374,1816.0,13.0
375,1818.0,4.0
376,1822.0,7.0
377,1828.0,23.0
378,1834.0,2.0
379,1835.0,16.0
380,1842.0,20.0
381,1854.0,19.0
382,1857.0,18.0
383,1861.0,12.0
384,1865.0,21.0
385,1866.0,18.0
386,1869.0,17.0
387,1885.0,23.0
388,1886.0,20.0
389,1887.0,15.0
390,1888.0,21.0
391,1891.0,15.0
392,1911.0,11.0
393,1937.0,13.0
394,1939.0,13.0
395,1940.0,19.0
396,1943.0,27.0
397,1950.0,19.0
398,1952.0,12.0
399,1953.0,12.0
400,1955.0,18.0
401,1968.0,20.0
402,1973.0,7.0
403,1981.0,15.0
404,1984.0,24.0
405,1991.0,14.0
406,2001.0,22.0
407,2004.0,19.0
408,2007.0,8.0
409,2009.0,8.0
410,2012.0,10.0
411,2017.0,12.0
412,2021.0,18.0
413,2022.0,28.0
414,2027.0,17.0
415,2032.0,17.0
416,2034.0,17.0
417,2036.0,8.0
418,2037.0,17.0
419,2046.0,9.0
420,2048.0,24.0
421,2050.0,18.0
422,2052.0,8.0
423,2053.0,10.0
424,2061.0,8.0
425,2069.0,18.0
426,2073.0,10.0
427,2075.0,7.0
428,2076.0,16.0
429,2078.0,10.0
430,2081.0,25.0
431,2082.0,19.0
432,2092.0,23.0
433,2093.0,16.0
434,2113.0,16.0
435,2123.0,8.0
436,2126.0,16.0
437,2133.0,5.0
438,2148.0,18.0
439,2157.0,17.0
440,2158.0,13.0
441,2160.0,21.0
442,2162.0,2.0
443,2169.0,13.0
444,2171.0,17.0
445,2181.0,13.0
446,2182.0,12.0
447,2183.0,28.0
448,2184.0,18.0
449,2186.0,10.0
450,2187.0,23.0
451,2197.0,18.0
452,2214.0,18.0
453,2218.0,14.0
454,2220.0,9.0
455,2224.0,16.0
456,2225.0,20.0
457,2226.0,5.0
458,2227.0,22.0
459,2231.0,14.0
460,2234.0,7.0
461,2237.0,20.0
462,2240.0,16.0
463,2243.0,22.0
464,2250.0,22.0
465,2252.0,15.0
466,2256.0,16.0
467,2266.0,12.0
468,2268.0,19.0
469,2270.0,20.0
470,2286.0,14.0
471,2288.0,10.0
472,2295.0,15.0
473,2300.0,18.0
474,2304.0,10.0
475,2305.0,12.0
476,2307.0,14.0
477,2309.0,18.0
478,2313.0,12.0
479,2314.0,9.0
480,2315.0,18.0
481,2324.0,5.0
482,2329.0,11.0
483,2330.0,9.0
484,2332.0,9.0
485,2337.0,27.0
486,2348.0,18.0
487,2349.0,12.0
488,2355.0,19.0
489,2365.0,11.0
490,2368.0,9.0
491,2370.0,5.0
492,2372.0,7.0
493,2374.0,26.0
494,2375.0,20.0
495,2378.0,11.0
496,2382.0,8.0
497,2394.0,15.0
498,2404.0,10.0
499,2410.0,9.0
500,2411.0,19.0
501,2416.0,24.0
502,2417.0,18.0
503,2424.0,15.0
504,2430.0,8.0
505,2431.0,16.0
506,2432.0,6.0
507,2434.0,20.0
508,2437.0,9.0
509,2439.0,20.0
510,2445.0,26.0
511,2453.0,20.0
512,2459.0,11.0
513,2460.0,9.0
514,2461.0,23.0
515,2463.0,10.0
516,2475.0,15.0
517,2479.0,10.0
518,2480.0,15.0
519,2481.0,12.0
520,2489.0,19.0
521,2493.0,13.0
522,2503.0,10.0
523,2505.0,7.0
524,2519.0,25.0
525,2521.0,17.0
526,2528.0,17.0
527,2530.0,17.0
528,2535.0,18.0
529,2537.0,16.0
530,2542.0,11.0
531,2547.0,10.0
532,2557.0,4.0
533,2561.0,22.0
534,2564.0,15.0
535,2568.0,22.0
536,2569.0,29.0
537,2580.0,17.0
538,2585.0,24.0
539,2588.0,28.0
540,2589.0,16.0
541,2590.0,7.0
542,2598.0,22.0
543,2599.0,16.0
544,2602.0,12.0
545,2603.0,20.0
546,2606.0,13.0
