,ori,lo_transittime
226,764.0,6.0
227,765.0,14.0
228,767.0,8.0
229,768.0,20.0
230,771.0,15.0
231,772.0,20.0
232,775.0,13.0
233,776.0,17.0
234,779.0,20.0
235,786.0,24.0
236,787.0,16.0
237,790.0,22.0
238,791.0,12.0
239,797.0,8.0
240,800.0,15.0
241,806.0,14.0
242,807.0,6.0
243,812.0,23.0
244,813.0,18.0
245,824.0,6.0
246,825.0,24.0
247,827.0,10.0
248,828.0,14.0
249,833.0,19.0
250,835.0,6.0
251,838.0,4.0
252,845.0,12.0
253,850.0,10.0
254,851.0,13.0
255,852.0,13.0
256,857.0,23.0
257,862.0,8.0
258,868.0,14.0
259,869.0,12.0
260,871.0,16.0
261,872.0,13.0
262,873.0,4.0
263,883.0,23.0
264,884.0,24.0
265,886.0,20.0
266,890.0,20.0
267,892.0,16.0
268,896.0,21.0
269,897.0,17.0
270,898.0,8.0
271,900.0,7.0
272,902.0,23.0
273,904.0,18.0
274,905.0,4.0
275,909.0,17.0
276,910.0,11.0
277,913.0,25.0
278,916.0,10.0
279,920.0,18.0
280,925.0,16.0
281,927.0,17.0
282,928.0,7.0
283,932.0,21.0
284,935.0,12.0
285,937.0,25.0
286,939.0,12.0
287,942.0,12.0
288,943.0,13.0
289,944.0,14.0
290,953.0,5.0
291,964.0,17.0
292,965.0,12.0
293,970.0,13.0
294,971.0,23.0
295,973.0,19.0
296,977.0,12.0
297,981.0,28.0
298,982.0,20.0
299,988.0,9.0
300,989.0,18.0
301,991.0,13.0
302,992.0,21.0
303,993.0,15.0
304,995.0,13.0
305,997.0,20.0
306,1003.0,9.0
307,1008.0,15.0
308,1010.0,19.0
309,1018.0,26.0
310,1020.0,12.0
311,1022.0,18.0
312,1023.0,18.0
313,1027.0,15.0
314,1033.0,17.0
315,1042.0,9.0
316,1048.0,15.0
317,1051.0,19.0
318,1055.0,19.0
319,1056.0,22.0
320,1059.0,14.0
321,1060.0,23.0
322,1061.0,7.0
323,1064.0,12.0
324,1066.0,18.0
325,1067.0,13.0
326,1068.0,13.0
327,1074.0,11.0
328,1076.0,15.0
329,1077.0,9.0
330,1081.0,8.0
331,1082.0,8.0
332,1083.0,13.0
333,1086.0,22.0
334,1100.0,15.0
335,1102.0,9.0
336,1104.0,29.0
337,1108.0,18.0
338,1109.0,16.0
339,1110.0,16.0
340,1111.0,10.0
341,1114.0,12.0
342,1116.0,10.0
343,1124.0,23.0
344,1126.0,16.0
345,1128.0,7.0
346,1129.0,16.0
347,1132.0,15.0
348,1134.0,16.0
349,1142.0,16.0
350,1146.0,8.0
351,1159.0,18.0
352,1164.0,10.0
353,1171.0,12.0
354,1173.0,14.0
355,1174.0,12.0
356,1175.0,11.0
357,1177.0,23.0
358,1182.0,11.0
359,1184.0,18.0
360,1187.0,18.0
361,1192.0,18.0
362,1197.0,5.0
363,1198.0,10.0
364,1201.0,15.0
