,ori,lo_transittime
164,367.0,14.0
165,370.0,5.0
166,372.0,3.0
167,373.0,1.0
168,375.0,13.0
169,376.0,8.0
170,377.0,10.0
171,379.0,18.0
172,380.0,11.0
173,382.0,26.0
174,384.0,17.0
175,387.0,13.0
176,391.0,11.0
177,395.0,19.0
178,397.0,19.0
179,399.0,8.0
180,400.0,7.0
181,401.0,8.0
182,402.0,12.0
183,404.0,16.0
184,405.0,1.0
185,407.0,9.0
186,409.0,7.0
187,412.0,16.0
188,414.0,19.0
189,416.0,9.0
190,418.0,28.0
191,422.0,9.0
192,425.0,24.0
193,428.0,12.0
194,431.0,20.0
195,432.0,6.0
196,433.0,8.0
197,440.0,4.0
198,441.0,2.0
199,442.0,5.0
200,446.0,11.0
201,448.0,3.0
202,450.0,10.0
203,459.0,5.0
204,462.0,17.0
205,464.0,5.0
206,466.0,19.0
207,470.0,15.0
208,472.0,12.0
209,473.0,6.0
210,482.0,1.0
211,483.0,9.0
212,486.0,6.0
213,488.0,20.0
214,490.0,10.0
215,491.0,7.0
216,493.0,4.0
217,494.0,21.0
218,496.0,5.0
219,497.0,2.0
220,499.0,12.0
221,504.0,20.0
222,505.0,17.0
223,509.0,11.0
224,515.0,17.0
225,517.0,10.0
226,522.0,22.0
227,523.0,19.0
228,525.0,7.0
229,529.0,11.0
230,531.0,5.0
231,532.0,8.0
232,534.0,12.0
233,540.0,15.0
234,541.0,6.0
235,542.0,7.0
236,543.0,2.0
237,544.0,4.0
238,549.0,4.0
239,550.0,14.0
240,552.0,6.0
241,553.0,10.0
242,554.0,6.0
243,555.0,9.0
244,558.0,16.0
245,561.0,5.0
246,567.0,25.0
247,571.0,10.0
248,572.0,7.0
249,578.0,29.0
250,581.0,2.0
251,582.0,2.0
252,583.0,18.0
253,584.0,16.0
254,585.0,6.0
255,587.0,15.0
256,590.0,3.0
257,592.0,5.0
258,594.0,9.0
259,595.0,18.0
260,598.0,5.0
261,603.0,27.0
262,604.0,10.0
263,605.0,5.0
264,616.0,12.0
265,617.0,3.0
266,622.0,10.0
267,623.0,7.0
268,626.0,21.0
269,627.0,8.0
270,628.0,20.0
271,629.0,12.0
272,632.0,13.0
273,633.0,5.0
274,637.0,5.0
275,639.0,2.0
276,640.0,6.0
277,641.0,14.0
278,644.0,23.0
279,647.0,6.0
280,650.0,27.0
281,654.0,13.0
282,655.0,9.0
283,657.0,23.0
284,659.0,9.0
285,661.0,3.0
286,662.0,12.0
287,663.0,9.0
288,665.0,7.0
289,669.0,8.0
290,675.0,11.0
291,676.0,30.0
292,678.0,17.0
293,680.0,10.0
294,681.0,7.0
295,689.0,23.0
296,690.0,8.0
297,691.0,11.0
298,693.0,8.0
299,695.0,22.0
300,696.0,12.0
301,698.0,6.0
302,703.0,7.0
303,704.0,2.0
304,708.0,16.0
305,709.0,7.0
306,711.0,11.0
307,712.0,5.0
308,713.0,11.0
309,716.0,24.0
310,717.0,12.0
311,718.0,5.0
312,719.0,10.0
313,727.0,19.0
314,729.0,10.0
315,731.0,25.0
316,732.0,7.0
317,737.0,1.0
318,738.0,5.0
319,739.0,7.0
320,743.0,8.0
321,744.0,17.0
322,746.0,15.0
323,748.0,12.0
324,749.0,7.0
325,750.0,25.0
326,751.0,6.0
327,753.0,16.0
328,754.0,4.0
329,755.0,9.0
330,757.0,13.0
331,758.0,11.0
332,759.0,20.0
333,763.0,20.0
334,764.0,5.0
335,765.0,7.0
336,767.0,5.0
337,768.0,16.0
338,769.0,15.0
339,771.0,6.0
340,772.0,13.0
341,774.0,19.0
342,775.0,9.0
343,776.0,14.0
344,779.0,10.0
345,780.0,11.0
346,782.0,5.0
347,786.0,1.0
348,787.0,24.0
349,790.0,7.0
350,791.0,20.0
